YEAR,START_DATE,END_DATE,ANIMAL,ELEMENT,ASPECT
1900,31-Jan-00, 18 February 1901,Rat,Metal,+
1901,19-Feb-01, 7 February 1902,Ox,Metal,-
1902,8-Feb-02, 28 January 1903,Tiger,Water,+
1903,29-Jan-03, 15 February 1904,Rabbit,Water,-
1904,16-Feb-04, 3 February 1905,Dragon,Wood,+
1905,4-Feb-05, 24 January 1906,Snake,Wood,-
1906,25-Jan-06, 12 February 1907,Horse,Fire,+
1907,13-Feb-07, 1 February 1908,Sheep,Fire,-
1908,2-Feb-08, 21 January 1909,Monkey,Earth,+
1909,22-Jan-09, 9 February 1910,Rooster,Earth,-
1910,10-Feb-10, 29 January 1911,Dog,Metal,+
1911,30-Jan-11, 17 February 1912,Pig,Metal,-
1912,18-Feb-12, 5 February 1913,Rat,Water,+
1913,6-Feb-13, 25 January 1914,Ox,Water,-
1914,26-Jan-14, 13 February 1915,Tiger,Wood,+
1915,14-Feb-15, 2 February 1916,Rabbit,Wood,-
1916,3-Feb-16, 22 January 1917,Dragon,Fire,+
1917,23-Jan-17, 10 February 1918,Snake,Fire,-
1918,11-Feb-18, 31 January 1919,Horse,Earth,+
1919,1-Feb-19, 19 February 1920,Sheep,Earth,-
1920,20-Feb-20, 7 February 1921,Monkey,Metal,+
1921,8-Feb-21, 27 January 1922,Rooster,Metal,-
1922,28-Jan-22, 15 February 1923,Dog,Water,+
1923,16-Feb-23, 4 February 1924,Pig,Water,-
1924,5-Feb-24, 24 January 1925,Rat,Wood,+
1925,25-Jan-25, 12 February 1926,Ox,Wood,-
1926,13-Feb-26, 1 February 1927,Tiger,Fire,+
1927,2-Feb-27, 22 January 1928,Rabbit,Fire,-
1928,23-Jan-28, 9 February 1929,Dragon,Earth,+
1929,10-Feb-29, 29 January 1930,Snake,Earth,-
1930,30-Jan-30, 16 February 1931,Horse,Metal,+
1931,17-Feb-31, 5 February 1932,Sheep,Metal,-
1932,6-Feb-32, 25 January 1933,Monkey,Water,+
1933,26-Jan-33, 13 February 1934,Rooster,Water,-
1934,14-Feb-34, 3 February 1935,Dog,Wood,+
1935,4-Feb-35, 23 January 1936,Pig,Wood,-
1936,24-Jan-36, 10 February 1937,Rat,Fire,+
1937,11-Feb-37, 30 January 1938,Ox,Fire,-
1938,31-Jan-38, 18 February 1939,Tiger,Earth,+
1939,19-Feb-39, 7 February 1940,Rabbit,Earth,-
1940,8-Feb-40, 26 January 1941,Dragon,Metal,+
1941,27-Jan-41, 14 February 1942,Snake,Metal,-
1942,15-Feb-42, 4 February 1943,Horse,Water,+
1943,5-Feb-43, 24 January 1944,Sheep,Water,-
1944,25-Jan-44, 12 February 1945,Monkey,Wood,+
1945,13-Feb-45, 1 February 1946,Rooster,Wood,-
1946,2-Feb-46, 21 January 1947,Dog,Fire,+
1947,22-Jan-47, 9 February 1948,Pig,Fire,-
1948,10-Feb-48, 28 January 1949,Rat,Earth,+
1949,29-Jan-49, 16 February 1950,Ox,Earth,-
1950,17-Feb-50, 5 February 1951,Tiger,Metal,+
1951,6-Feb-51, 26 January 1952,Rabbit,Metal,-
1952,27-Jan-52, 13 February 1953,Dragon,Water,+
1953,14-Feb-53, 2 February 1954,Snake,Water,-
1954,3-Feb-54, 16 February 1955,Horse,Wood,+
1955,24-Jan-55, 11 February 1956,Sheep,Wood,-
1956,12-Feb-56, 30 January 1957,Monkey,Fire,+
1957,31-Jan-57, 17 February 1958,Rooster,Fire,-
1958,18-Feb-58, 7 February 1959,Dog,Earth,+
1959,8-Feb-59, 27 January 1960,Pig,Earth,-
1960,28-Jan-60, 14 February 1961,Rat,Metal,+
1961,15-Feb-61, 4 February 1962,Ox,Metal,-
1962,5-Feb-62, 24 January 1963,Tiger,Water,+
1963,25-Jan-63, 12 February 1964,Rabbit,Water,-
1964,13-Feb-64, 1 February 1965,Dragon,Wood,+
1965,2-Feb-65, 20 January 1966,Snake,Wood,-
1966,21-Jan-66, 8 February 1967,Horse,Fire,+
1967,9-Feb-67, 29 January 1968,Sheep,Fire,-
1968,30-Jan-68, 16 February 1969,Monkey,Earth,+
1969,17-Feb-69, 5 February 1970,Rooster,Earth,-
1970,6-Feb-70, 26 January 1971,Dog,Metal,+
1971,27-Jan-71, 15 January 1972,Pig,Metal,-
1972,16-Jan-72, 2 February 1973,Rat,Water,+
1973,3-Feb-73, 22 January 1974,Ox,Water,-
1974,23-Jan-74, 10 February 1975,Tiger,Wood,+
1975,11-Feb-75, 30 January 1976,Rabbit,Wood,-
1976,31-Jan-76, 17 February 1977,Dragon,Fire,+
1977,18-Feb-77, 6 February 1978,Snake,Fire,-
1978,7-Feb-78, 27 January 1979,Horse,Earth,+
1979,28-Jan-79, 15 February 1980,Sheep,Earth,-
1980,16-Feb-80, 4 February 1981,Monkey,Metal,+
1981,5-Feb-81, 24 January 1982,Rooster,Metal,-
1982,25-Jan-82, 12 February 1983,Dog,Water,+
1983,13-Feb-83, 1 February 1984,Pig,Water,-
1984,2-Feb-84, 19 February 1985,Rat,Wood,+
1985,20-Feb-85, 8 February 1986,Ox,Wood,-
1986,9-Feb-86, 28 January 1987,Tiger,Fire,+
1987,29-Jan-87, 16 February 1988,Rabbit,Fire,-
1988,17-Feb-88, 5 February 1989,Dragon,Earth,+
1989,6-Feb-89, 26 January 1990,Snake,Earth,-
1990,27-Jan-90, 14 February 1991,Horse,Metal,+
1991,15-Feb-91, 3 February 1992,Sheep,Metal,-
1992,4-Feb-92, 22 January 1993,Monkey,Water,+
1993,23-Jan-93, 9 February 1994,Rooster,Water,-
1994,10-Feb-94, 30 January 1995,Dog,Wood,+
1995,31-Jan-95, 18 February 1996,Pig,Wood,-
1996,19-Feb-96, 7 February 1997,Rat,Fire,+
1997,8-Feb-97, 27 January 1998,Ox,Fire,-
1998,28-Jan-98, 15 February 1999,Tiger,Earth,+
1999,16-Feb-99, 4 February 2000,Rabbit,Earth,-
2000,5-Feb-00, 23 January 2001,Dragon,Metal,+
2001,24-Jan-01, 11 February 2002,Snake,Metal,-
2002,12-Feb-02, 31 January 2003,Horse,Water,+
2003,1-Feb-03, 21 January 2004,Sheep,Water,-
2004,22-Jan-04, 8 February 2005,Monkey,Wood,+
2005,9-Feb-05, 28 January 2006,Rooster,Wood,-
2006,29-Jan-06, 17 February 2007,Dog,Fire,+
2007,18-Feb-07, 6 February 2008,Pig,Fire,-
2008,7-Feb-08, 25 January 2009,Rat,Earth,+
2009,26-Jan-09, 13 February 2010,Ox,Earth,-
2010,14-Feb-10, 2 February 2011,Tiger,Metal,+
2011,3-Feb-11, 22 January 2012,Rabbit,Metal,-
2012,23-Jan-12, 9 February 2013,Dragon,Water,+
2013,10-Feb-13, 30 January 2014,Snake,Water,-
2014,31-Jan-14, 18 February 2015,Horse,Wood,+
2015,19-Feb-15, 7 February 2016,Sheep,Wood,-
2016,8-Feb-16, 27 January 2017,Monkey,Fire,+
2017,28-Jan-17, 15 February 2018,Rooster,Fire,-
2018,16-Feb-18, 4 February 2019,Dog,Earth,+
2019,5-Feb-19, 24 January 2020,Pig,Earth,-
2020,25-Jan-20, 11 February 2021,Rat,Metal,+
2021,12-Feb-21, 31 January 2022,Ox,Metal,-
2022,1-Feb-22, 22 January 2023,Tiger,Water,+
2023,22-Jan-23, 9 February 2024,Rabbit,Water,-
2024,10-Feb-12, 28 January 2025,Dragon,Wood,+
2025,29-Jan-25, 16 February 2026,Snake,Wood,-
2026,17-Feb-26, 5 February 2027,Horse,Fire,+
2027,6-Feb-27, 25 January 2028,Sheep,Fire,-
2028,26-Jan-28, 12 February 2029,Monkey,Earth,+
2029,13-Feb-29, 2 February 2030,Rooster,Earth,-
2030,3-Feb-30, 22 January 2031,Dog,Metal,+
2031,23-Jan-31, 10 February 2032,Pig,Metal,-
2032,11-Feb-32, 30 January 2033,Rat,Water,+
2033,31-Jan-33, 18 February 2034,Ox,Water,-
2034,19-Feb-34, 7 February 2035,Tiger,Wood,+
2035,8-Feb-35, 27 January 2036,Rabbit,Wood,-
2036,28-Jan-36, 14 February 2037,Dragon,Fire,+
2037,15-Feb-37, 3 February 2038,Snake,Fire,-
2038,4-Feb-38, 23 January 2039,Horse,Earth,+
2039,24-Jan-39, 11 February 2040,Sheep,Earth,-
2040,12-Feb-40, 31 January 2041,Monkey,Metal,+
2041,1-Feb-41, 21 January 2042,Rooster,Metal,-
2042,22-Jan-42, 9 Febuary 2043,Dog,Water,+
2043,10-Feb-43, 29 January 2044,Pig,Water,-
